Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
82,747,4.58E+02,7.93E-01,1.45E+00,2.24E+00,9.32E-01,3.23E+00,-6.55E+00,14131.31715
83,756,4.58E+02,7.93E-01,1.45E+00,2.24E+00,9.32E-01,3.23E+00,-6.55E+00,14278.38229
84,765,4.58E+02,7.93E-01,1.45E+00,2.24E+00,9.32E-01,3.23E+00,-6.55E+00,14428.99927
85,774,4.14E+02,7.41E-01,1.45E+00,2.36E+00,9.16E-01,3.29E+00,-6.70E+00,14577.73914
86,783,2.51E+02,7.72E-01,1.32E+00,1.85E+00,1.02E+00,2.63E+00,-6.44E+00,14724.50212
87,792,2.06E+02,7.78E-01,1.27E+00,1.82E+00,9.76E-01,2.43E+00,-6.32E+00,14878.77582
88,801,1.73E+02,7.44E-01,1.19E+00,1.34E+00,1.06E+00,2.03E+00,-6.38E+00,15027.71468
89,810,1.73E+02,7.44E-01,1.19E+00,1.34E+00,1.06E+00,2.03E+00,-6.38E+00,15179.73779
90,819,1.73E+02,7.44E-01,1.19E+00,1.34E+00,1.06E+00,2.03E+00,-6.38E+00,15327.44809
91,828,1.73E+02,7.44E-01,1.19E+00,1.34E+00,1.06E+00,2.03E+00,-6.38E+00,15472.00423
92,837,1.73E+02,7.44E-01,1.19E+00,1.34E+00,1.06E+00,2.03E+00,-6.38E+00,15618.91835
93,846,1.72E+02,7.36E-01,1.27E+00,1.35E+00,9.25E-01,2.21E+00,-7.22E+00,15767.55534
94,855,1.72E+02,7.36E-01,1.27E+00,1.35E+00,9.25E-01,2.21E+00,-7.22E+00,15911.16214
95,864,1.34E+02,7.95E-01,1.21E+00,1.47E+00,1.00E+00,2.06E+00,-6.25E+00,16057.20708
96,873,1.23E+02,8.33E-01,1.16E+00,1.33E+00,9.28E-01,1.76E+00,-5.98E+00,16206.76612
97,882,1.05E+02,8.51E-01,1.13E+00,1.24E+00,9.58E-01,1.64E+00,-5.97E+00,16352.39204
98,891,9.19E+01,8.40E-01,1.17E+00,1.30E+00,9.89E-01,1.81E+00,-6.30E+00,16503.91661
99,900,9.19E+01,8.40E-01,1.17E+00,1.30E+00,9.89E-01,1.81E+00,-6.30E+00,16652.26354
100,909,9.19E+01,8.40E-01,1.17E+00,1.30E+00,9.89E-01,1.81E+00,-6.30E+00,16798.03048
101,918,9.04E+01,8.17E-01,1.14E+00,1.18E+00,1.03E+00,1.69E+00,-6.38E+00,16944.46875
102,927,7.78E+01,8.49E-01,1.16E+00,1.16E+00,9.73E-01,1.69E+00,-6.58E+00,17093.72543
103,936,6.15E+01,8.61E-01,1.09E+00,9.62E-01,9.83E-01,1.37E+00,-6.48E+00,17238.07101
104,945,5.81E+01,8.23E-01,1.13E+00,7.42E-01,1.01E+00,1.42E+00,-7.24E+00,17384.45549
105,954,5.06E+01,8.43E-01,1.15E+00,8.87E-01,1.03E+00,1.54E+00,-7.11E+00,17530.13048
106,963,4.21E+01,8.77E-01,1.12E+00,9.05E-01,1.06E+00,1.44E+00,-7.04E+00,17676.26949
107,972,3.70E+01,9.04E-01,1.09E+00,7.95E-01,1.02E+00,1.27E+00,-6.96E+00,17828.26966
108,981,3.57E+01,9.01E-01,1.11E+00,9.00E-01,1.00E+00,1.37E+00,-7.21E+00,17987.02276
109,990,3.57E+01,9.01E-01,1.11E+00,9.00E-01,1.00E+00,1.37E+00,-7.21E+00,18134.71481
110,999,3.33E+01,9.03E-01,1.06E+00,7.50E-01,1.01E+00,1.12E+00,-7.10E+00,18282.55685
111,1008,3.33E+01,9.03E-01,1.06E+00,7.50E-01,1.01E+00,1.12E+00,-7.10E+00,18431.8779
112,1017,3.10E+01,9.32E-01,1.03E+00,7.28E-01,1.02E+00,1.01E+00,-6.90E+00,18581.77637
113,1026,3.04E+01,9.33E-01,1.06E+00,7.20E-01,9.98E-01,1.07E+00,-7.08E+00,18732.51283
114,1035,3.04E+01,9.33E-01,1.06E+00,7.20E-01,9.98E-01,1.07E+00,-7.08E+00,18885.81617
115,1044,3.02E+01,9.33E-01,1.08E+00,7.40E-01,1.03E+00,1.18E+00,-7.59E+00,19033.8903
116,1053,2.03E+01,9.45E-01,1.07E+00,8.24E-01,1.02E+00,1.16E+00,-7.31E+00,19184.04315
117,1062,2.03E+01,9.45E-01,1.07E+00,8.24E-01,1.02E+00,1.16E+00,-7.31E+00,19334.46162
118,1071,1.86E+01,9.32E-01,1.05E+00,8.37E-01,1.03E+00,1.12E+00,-7.10E+00,19489.26764
119,1080,1.44E+01,9.78E-01,1.04E+00,8.26E-01,1.04E+00,1.05E+00,-7.51E+00,19637.2562
120,1089,1.32E+01,9.48E-01,1.06E+00,9.24E-01,1.03E+00,1.19E+00,-7.99E+00,19784.54681
121,1098,1.32E+01,9.48E-01,1.06E+00,9.24E-01,1.03E+00,1.19E+00,-7.99E+00,19932.97967
122,1107,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20089.78872
123,1116,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20264.78095
124,1125,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20416.88469
125,1134,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20566.36871
126,1143,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20714.73762
127,1152,1.09E+01,9.61E-01,1.03E+00,8.78E-01,1.05E+00,1.06E+00,-7.49E+00,20867.75005
128,1161,1.03E+01,9.55E-01,1.05E+00,8.82E-01,1.05E+00,1.13E+00,-7.67E+00,21039.06141
129,1170,7.94E+00,9.77E-01,1.02E+00,9.34E-01,1.05E+00,1.05E+00,-7.50E+00,21188.25937
130,1179,6.94E+00,9.63E-01,1.03E+00,9.77E-01,1.03E+00,1.12E+00,-7.36E+00,21337.64049
131,1188,6.44E+00,9.60E-01,1.03E+00,1.01E+00,1.02E+00,1.13E+00,-7.42E+00,21486.93328
132,1197,6.32E+00,9.79E-01,1.01E+00,1.02E+00,1.02E+00,1.06E+00,-7.49E+00,21639.05852
133,1206,6.19E+00,9.47E-01,1.04E+00,9.59E-01,1.01E+00,1.16E+00,-7.62E+00,21790.69221
134,1215,5.02E+00,9.70E-01,1.02E+00,1.01E+00,1.03E+00,1.10E+00,-7.45E+00,21939.93642
135,1224,3.04E+00,9.72E-01,1.03E+00,9.55E-01,1.02E+00,1.08E+00,-7.75E+00,22087.62032
136,1233,2.20E+00,9.92E-01,1.01E+00,9.37E-01,1.02E+00,1.01E+00,-7.70E+00,22235.44315
137,1242,1.52E+00,9.84E-01,1.02E+00,1.01E+00,1.01E+00,1.07E+00,-7.69E+00,22385.3291
138,1251,1.52E+00,9.84E-01,1.02E+00,1.01E+00,1.01E+00,1.07E+00,-7.69E+00,22545.66643
139,1260,1.27E+00,9.92E-01,1.01E+00,9.63E-01,1.02E+00,1.03E+00,-7.83E+00,22698.64515
140,1269,1.10E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,1.01E+00,-7.62E+00,22850.00307
141,1278,1.10E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,1.01E+00,-7.62E+00,22996.63391
142,1287,1.10E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,1.01E+00,-7.62E+00,23147.40109
143,1296,1.10E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,1.01E+00,-7.62E+00,23299.70491
144,1305,8.61E-01,9.88E-01,1.01E+00,9.45E-01,1.01E+00,1.01E+00,-7.76E+00,23446.55614
145,1314,6.94E-01,9.88E-01,1.01E+00,1.01E+00,1.01E+00,1.05E+00,-7.77E+00,23597.61976
146,1323,5.24E-01,9.98E-01,1.00E+00,9.98E-01,1.01E+00,1.01E+00,-7.73E+00,23749.91478
147,1332,5.24E-01,9.98E-01,1.00E+00,9.98E-01,1.01E+00,1.01E+00,-7.73E+00,23899.88197
148,1341,1.82E-01,9.93E-01,1.01E+00,1.00E+00,1.01E+00,1.02E+00,-7.78E+00,24049.65229
149,1350,1.82E-01,9.93E-01,1.01E+00,1.00E+00,1.01E+00,1.02E+00,-7.78E+00,24198.94266
150,1359,1.82E-01,9.93E-01,1.01E+00,1.00E+00,1.01E+00,1.02E+00,-7.78E+00,24357.60397
151,1368,1.82E-01,9.93E-01,1.01E+00,1.00E+00,1.01E+00,1.02E+00,-7.78E+00,24506.46341
152,1377,1.36E-01,1.00E+00,1.00E+00,9.96E-01,1.00E+00,1.00E+00,-7.86E+00,24652.63252
153,1386,1.27E-01,9.93E-01,1.01E+00,1.01E+00,9.97E-01,1.03E+00,-7.79E+00,24806.13564
